BillingCity,BillingCountry,BillingPostalCode,BillingState,BillingStreet,CreatedById,CreatedDate,CurrencyIsoCode,Id,Industry,IsDeleted,LastActivityDate,LastModifiedById,LastModifiedDate,Merchant_Happiness__c,Name,NumberOfEmployees,OwnerId,ParentId,Phone,Rating,RecordTypeId,Type,Website,bAccountRisk__c,bActive__c,bIsPartner__c,dCRMScore__c,dCustomerScore__c,dInventoryScore__c,dKeyAccountId__c,dShopId__c,dTotalActivityScore__c,dTractionScore__c,dateDateCustomerImport__c,dateDebtCollectionInitiated__c,dateInternalUse__c,dateScall__c,dateTrialEnd__c,dateTrialStart__c,dateWidgetIn__c,dtActivationDate__c,dtCRNumberOfCustomersImported__c,dtOnboardingDate__c,plCreditworthiness__c,plCustomerDataInfo__c,plSubcategory__c,refActiveSubscription__c,strCreditScore__c,strMerchantUUID__c,object_type,urlLinkToSuccessStory__c
MADRID,ES,28027,Area Madrid,"ALCALA, 265 1 1",005b0000003ANwGAAW,2016-09-13 13:51:57,EUR,001b000003UcqTYAAZ,Craft,False,2016-09-23,005b0000002l2LiAAI,2016-09-13 14:09:07,,IBERDROLA INMOBILIARIA,,005b0000003ANwGAAW,,+34 902334412,A,012b0000000DffCAAS,Potential Customer,http://residencial.iberdrolainmobiliaria.com/,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,Account,
Valencia,ES,46001,Area Valencia,"En Sanz, 12 Valencia",005b0000003AK4VAAW,2016-09-13 13:55:10,EUR,001b000003UcqUqAAJ,Other,False,2016-09-13,005b0000002l2LiAAI,2016-09-13 14:09:07,,Lucia Novias,,005b0000003AK4VAAW,,,A,012b0000000DhedAAC,,http://www.lucianovias.es/,False,False,False,,,,,,,,,,,,,,,,,,,,Other,,,,Account,
Leganes,ES,28919,Area Madrid,Calle de Gabriela Mistral 10,005b00000045JWmAAM,2016-09-13 13:58:45,EUR,001b000003UcqWmAAJ,Restaurants,False,2016-09-20,005b0000002l2LiAAI,2016-09-13 14:09:07,,La Cuchara Mágica,,005b00000039tQ0AAI,,+34 916862346,A,012b0000000DhedAAC,,www.lacucharamagica.com,False,False,False,,,,,,,,,,,,,,,,,,,,National,,,,Account,
Barcelona,ES,08022,Area Barcelona,Centro de Barcelona Bertrand i Serra 12-14,005b0000003ZhfbAAC,2016-09-13 14:02:50,EUR,001b000003UcqZ7AAJ,Beauty,False,2016-09-16,005b0000002l2LiAAI,2016-09-13 14:09:07,,COS ESVELT CENTRE FISIOESTÈTIC,,005b0000004gZgwAAE,,+34 931240547,A,012b0000000DhedAAC,Potential Customer,www.cosesvelt.es,False,False,False,,,,,,,,,,,,,,,,,,,,Beauty Salon,,,,Account,
Siebnen,CH,8854,Schwyz,Bahnhofstr. 39,005b00000038MWcAAM,2016-09-13 13:28:48,CHF,001b000003UcqDFAAZ,Beauty,False,2016-10-18,005b0000002l2LiAAI,2016-09-13 14:09:12,,nail & spa GmbH,,005b0000001PYraAAG,,+41 554603350,A,012b0000000DhedAAC,,rafael.meier@franz.ch,False,False,False,,,,,,,,,,,,,,,,,,,,Beauty Salon,,,,Account,
,ES,,,,005b0000003ANwGAAW,2016-09-13 13:47:14,EUR,001b000003UcqRSAAZ,Real Estate,False,2016-09-20,005b0000002l2LiAAI,2016-09-13 14:09:12,,Q21 REAL ESTATE,,005b0000003ANwGAAW,,+34 615574858,AA,012b0000000DffCAAS,,http://q21realestate.es/,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,Account,
Kreuzlingen,CH,8280,Thurgau,Döbelistr. 28,005b0000001QAr5AAG,2016-08-09 15:10:29,CHF,001b000003T4i6QAAR,Sports & Recreation,False,2016-09-13,005b00000030tDIAAY,2016-09-13 14:10:46,,Elson Sport und Fitness,,005b0000002mIjsAAE,,+41 716701066,A,012b0000000DhedAAC,Customer,www.elson.ch,False,False,False,,,,49319.0,53109.0,,,,,,,,,,,,,,,Personal Training,a2Lb00000001QcsEAE,,,Account,
Ulm,DE,89077,Raum München,Magirusstr. 45,005b00000021vXSAAY,2016-09-13 14:11:12,EUR,001b000003Ucqf8AAB,Hairdresser,False,2016-10-05,005b00000021vXSAAY,2016-09-13 14:11:15,,Friseur Uhrle in Ulm,,005b0000001eA7YAAU,,073 133188,A,012b0000000DhedAAC,,www.friseur-uhrle.de,False,False,False,,,,,,,,,,,,,,,,,,,,Haircut,,,,Account,
Bresso,IT,20091,Area Milano West,Via Vittorio Veneto angolo Ambrogio Strada,005b0000004CtuyAAC,2016-06-14 13:06:32,EUR,001b000003OaXomAAF,Hairdresser,False,2016-09-07,005b00000045aF4AAI,2016-09-13 14:12:51,very happy,Marciano Barber Shop,,005b00000045aF4AAI,,+39 0248672098,AA,012b0000000DhedAAC,,http://www.marcianobarbershop.it,False,False,False,7.0,8.50000095367,5.89585733414,48913.0,52446.0,8.18,9.10000038147,2016-06-27,,2016-07-06,2016-07-19,,,,2016-06-28,,2016-06-28,,Customer Import,Haircut,a2Lb00000027y3lEAA,,B8829ABC-6BAB-4AD8-94A7-0AF3B1279AB8,Account,
Madrid,ES,28004,Area Madrid,Calle Fuencarral 58,005b00000039tQ0AAI,2016-07-22 08:43:57,EUR,001b000003RFqZUAA1,Restaurants,False,2016-09-14,005b0000002hG2NAAU,2016-09-13 14:15:02,,Elcano Fuencarral,,005b00000039tQ0AAI,,+34 914347079,A,012b0000000DhedAAC,,www.elcano.rest,False,False,False,,,,,53430.0,,,,,,,,,,,,,,,Spanish,,,,Account,
Wien,AT,1110,Raum Wien,Lindenbauergasse 15,005b0000000vDNRAA2,2014-03-06 15:21:47,EUR,001b000000PHfqVAAT,Hairdresser,False,2014-06-26,005b0000002hG2NAAU,2016-09-13 14:20:26,rather happy,Friseur Dream Team,,005b0000001QrByAAK,,+43 69917671717,A,012b0000000DhedAAC,Customer,www.friseur-dream-team.at,False,False,False,,,,8347.0,21386.0,,,,,,,,,2014-12-03,2016-02-05,,2014-06-26,,No Customer Data,Haircut Women,,,8FC81C18-C01F-4DCF-8D95-781483582A63,Account,
,DE,,,,005b0000002hG1yAAE,2015-12-22 11:46:36,EUR,001b000002eBmJvAAK,Computer Software,False,2016-12-22,005b0000003KsCnAAK,2016-09-13 14:21:43,,SHORE,200.0,005b0000003ZiHVAA0,,+1 41788171237,,012b0000000DhedAAC,,www.shore.com,False,False,False,,,,49026.0,52624.0,,,,,,,,,,,,,,,,a2Lb0000001Yxw2EAC,,,Account,
Weilheim,DE,82362,,Am Weidenbach 7,005b0000001eA7YAAU,2015-11-11 10:28:07,EUR,001b000002C3MWbAAN,Sports & Recreation,False,2016-09-01,005b0000003jP7kAAE,2016-09-13 14:23:19,rather happy,Sportstudio Guffanti,,005b0000003jP7kAAE,,088 192704181,A,012b0000000DhedAAC,,www.sportstudio-guffanti.de,True,False,False,0.0,3.60000014305,8.57214260101,44387.0,47602.0,2.16,0.566666662693,,,,2015-12-14,,,2015-11-18,2015-11-17,,,,No Customer Data,Fitness Center,a2Lb00000004MiGEAU,,3C9632C1-5C75-40FB-80E6-1AF6D9D1DFB4,Account,
Madrid,ES,28001,Area Madrid,Calle Lagasca 7,005b00000039tQ0AAI,2016-09-13 13:37:12,EUR,001b000003UcqK4AAJ,Restaurants,False,2016-09-14,005b0000002hG2NAAU,2016-09-13 14:23:53,,Elcano Lagasca,,005b00000039tQ0AAI,,+34 911272524,A,012b0000000DhedAAC,Potential Customer,,False,False,False,,,,,53431.0,,,,,,,,,,,,,,,Spanish,,,,Account,
Valencia,ES,46011,Area Valencia,Carrer de Cristo del Grao 14,005b0000003Zd3JAAS,2016-09-13 14:23:54,EUR,001b000003UcqpIAAR,Restaurants,False,2016-09-21,005b0000003Zd3JAAS,2016-09-13 14:23:56,,Nehuen Tasca,,005b0000003AK4LAAW,,+34 960151440,A,012b0000000DhedAAC,,,False,False,False,,,,,,,,,,,,,,,,,,,,Vegetarian,,,,Account,
Barcelona,ES,08029,Area Barcelona,"Carrer Paris, 67",005b0000003A29rAAC,2016-09-13 14:24:49,EUR,001b000003UcqphAAB,Beauty,False,2016-09-15,005b0000003A29rAAC,2016-09-13 14:24:51,,Moem Estilistas,,005b0000004gZgmAAE,,+34 935394549,A,012b0000000DhedAAC,Potential Customer,,False,False,False,,,,,,,,,,,,,,,,,,,,Beauty Salon,,,,Account,
Valencia,ES,46005,Area Valencia,Joaquín Costa  39,005b0000003A29rAAC,2016-01-27 08:49:32,EUR,001b000003HTVHlAAP,Vehicles,False,2016-09-13,005b0000003Yw8VAAS,2016-09-13 14:24:47,very unhappy,Moto 2000,,005b0000002maf5AAA,,+34 963742402,A,012b0000000DhedAAC,,www.moto2000valencia.com,True,False,False,2.98360657692,9.5,6.85980796814,47673.0,50989.0,4.9359808445,2.00819683075,2016-03-18,2016-08-03,2016-03-31,2016-04-14,,,,2016-02-12,,2016-03-04,,Customer Import,Motorbike,a2Lb0000001V0ePEAS,,3C0E6B14-5BF9-455D-850B-F73CD46CDAA4,Account,
Madrid,ES,28038,Area Madrid,Calle de Dolores Folgueras 34,005b0000003A29rAAC,2016-06-08 10:28:39,EUR,001b000003OZbitAAD,Beauty,False,2016-09-15,005b0000002emPXAAY,2016-09-13 14:26:13,rather happy,Ónix Unisex Peluquería y Estética,,005b0000003LteGAAS,,+34 910173085,A,012b0000000DhedAAC,,http://onixunisex.com/,False,False,False,0.0,0.08,5.16,48793.0,52299.0,0.61,0.18,,,,2016-07-07,,,2016-06-22,2016-06-23,,2016-06-23,,No Customer Data,Beauty Salon,a2Lb00000027xX3EAI,,16AABEA0-947A-4306-9BE8-0EADB6847F2A,Account,
Hameln,DE,31785,,Schlachthofstr. 18,005b0000002hFENAA2,2015-08-17 09:56:54,EUR,001b0000019vkC6AAI,Beauty,False,2016-09-01,005b0000003jP7aAAE,2016-09-13 14:26:25,rather happy,Körper Kultur Hameln,,005b0000003jP7aAAE,,051 517832781,A,012b0000000DhedAAC,,http://www.koerper-kultur-hameln.de,False,False,False,0.0,0.360000014305,6.60961103439,38782.0,41923.0,0.94,0.425000011921,,,,2015-12-02,,,2015-11-26,2015-09-16,,2015-10-06,,No Customer Data,Anti Aging,a2Lb00000004KTxEAM,,4D96A9E6-9D4E-4552-8A55-6D9DDDE06731,Account,
Bonn,DE,53225,Raum Düsseldorf - Solingen,Rheindorfer Str. 89,005b0000003BsAfAAK,2016-06-10 12:43:35,EUR,001b000003OZyzZAAT,Beauty,False,2016-09-02,005b0000002hG2NAAU,2016-09-13 14:26:38,,"Kosmetikstudio ""Laila's Beauty Oase""",,005b0000001zG6sAAE,,022 885097201,A,012b0000000DhedAAC,,www.lailas-beauty-oase.de,False,False,False,,,,,,,,,,,,,,,,,,,,Beauty Salon,,,,Account,
,DE,,,,005b00000038AwiAAE,2016-09-09 08:34:50,EUR,001b000003UcIU6AAN,,False,2016-09-13,005b0000003NrBfAAK,2016-09-13 14:26:47,rather happy,NEW HAIR-Parent,,005b00000038AwiAAE,,,,012b0000000DhedAAC,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,Account,
Madrid,ES,28019,Area Madrid,"Conde de Vistahermosa , 48",005b0000002f0t7AAA,2016-06-13 17:37:46,EUR,001b000003OaNL0AAN,Vehicles,False,2016-09-05,005b0000002mMOjAAM,2016-09-13 14:27:59,,JR Tintado de lunas,,005b0000003ALq6AAG,,+34 912190394,AA,012b0000000DhedAAC,,http://jrtintadodelunas.com/,False,False,False,5.0,6.0,6.22758293152,48846.0,52360.0,5.56,5.33333349228,,,,2016-07-04,,,2016-06-21,2016-06-22,,2016-06-22,,No Customer Data,Car Glass,a2Lb00000027xnxEAA,,1AFA7825-D756-469E-94CB-55ECF23AFC5E,Account,
Madrid,ES,28028,Area Madrid,Pza Manuel Becerra 19,005b00000039tQ0AAI,2016-09-13 13:44:20,EUR,001b000003UcqPqAAJ,Restaurants,False,2016-09-14,005b0000002hG2NAAU,2016-09-13 14:28:38,,Elcano Manuel Becerra,,005b00000039tQ0AAI,,+34 917047897,A,012b0000000DhedAAC,Potential Customer,www.elcano.rest,False,False,False,,,,,53432.0,,,,,,,,,,,,,,,Spanish,,,,Account,
Majadahonda,ES,28220,Area Madrid,Calle Granadilla 22,005b0000003Zd3JAAS,2016-07-19 11:52:23,EUR,001b000003RFOr1AAH,Piercing & Tattoo,False,2016-09-13,005b0000003Yw8VAAS,2016-09-13 14:26:40,,Ink and Shine Tattoo Parlour,,005b0000003ALq6AAG,,+34 912301601,A,012b0000000DhedAAC,Customer,www.inkandshine.com,False,False,False,,,,49111.0,52837.0,,,,,,,,,,,,,,No Customer Data,Tattoo,a2Lb00000027zMuEAI,,,Account,
Madrid,ES,28050,Area Madrid,"Calle Campo de la Estrella, 7",005b0000002f0jgAAA,2016-03-28 09:05:59,EUR,001b000003LF2g0AAD,Hairdresser,False,2016-09-13,005b0000003Yw8VAAS,2016-09-13 14:32:11,rather happy,Mi Pelu Las Tablas,,005b0000002maf5AAA,,+34 669897066,A,012b0000000DhedAAC,,http://www.mipelulastablas.com/,False,False,False,7.0,8.50000095367,8.92935752869,48125.0,51544.0,8.45,9.02000045776,2016-05-17,,,2016-05-12,,,2016-04-22,2016-04-13,,2016-05-19,,Customer Import,Haircut Children,a2Lb0000001V2v2EAC,,5A089696-2775-45FF-9E46-5347712652E4,Account,
Sabadell,ES,08202,,Rambla 151,005b0000003ANxTAAW,2016-08-17 10:22:46,EUR,001b000003U0Z8RAAV,Beauty,False,2016-09-08,005b00000021Tk4AAE,2016-09-13 14:34:05,,Rodelas Perruquers Sabadell,,005b0000003LDEpAAO,001b000003O18bpAAB,+34 937272926,,012b0000000DhedAAC,Customer,,False,False,False,,,,48643.0,52983.0,,,,,,,,,,,,,,,Hair Removal,a2Lb00000001QRsEAM,,,Account,
Basel,CH,4054,Basel-Stadt,Neuweilerstr. 19,005b0000000vDNRAA2,2014-02-17 16:21:13,CHF,001b000000Nx0f3AAB,Beauty,False,2016-09-12,005b00000021Tk4AAE,2016-09-13 14:36:00,very happy,Sensation Nagel und Kosmetikstudio,,005b0000001QAr5AAG,,+41 613017077,A,012b0000000DhedAAC,Customer,www.sensation-nagelkosmetik.ch,False,False,False,0.0,0.0799999982119,2.73864293098,29775.0,32622.0,2.0,4.25,,,2016-09-12,,,,,2014-11-24,,,,No Customer Data,Beauty Salon,a2Lb00000000DbaEAE,,0c6a3194-c5aa-492d-a4c5-2d14325f487b,Account,
Leipzig,DE,4107,Raum Berlin,Niederkirchnerstraße 2,005b00000020cwaAAA,2015-10-15 14:06:59,EUR,001b000001Ya7dKAAR,Sports & Recreation,False,2016-09-01,005b0000003jP7kAAE,2016-09-13 14:36:22,rather happy,EMS-for you,,005b0000003jP7kAAE,,016 33030474,A,012b0000000DhedAAC,,http://www.ems-for-you.com,False,False,False,7.0,10.0,7.59585762024,42302.0,45458.0,8.58,8.56000041962,2015-11-06,,,2015-12-04,,,2015-11-18,2015-11-01,,,,Customer Import,Fitness Center,a2Lb00000004MFSEA2,,641BD668-BDFB-4191-B095-276D260255DE,Account,
